timestamp,a,b,right,left,down,rb
1717280670_4,0,0,0,0,0,0
1717280688_0,0,0,0,0,0,0
1717280689_00,0,0,0,0,0,0
1717280689_20,0,0,0,0,0,0
1717280689_5,0,0,0,0,0,0
1717280691_0,0,0,0,0,0,0
1717280691_1,0,0,0,0,0,0
1717280691_2,0,0,0,0,0,0
1717280692_0,0,0,0,0,0,0
1717280692_1,0,0,0,0,0,0
1717280692_2,0,0,0,0,0,0
1717280692_3,0,0,0,0,0,0
1717280692_4,0,0,0,0,0,0
1717280692_5,0,0,0,0,0,0
1717280693_00,0,0,0,0,0,0
1717280693_2,0,0,0,0,0,0
1717280693_3,0,0,0,0,0,0
1717280693_41,0,0,0,0,0,0
1717280694_0,1,0,0,0,0,0
1717280694_1,1,0,0,0,0,0
1717280694_21,1,0,0,0,0,0
1717280694_4,1,0,0,0,0,0
1717280694_51,1,0,0,1,0,0
1717280695_1,1,0,0,0,0,0
1717280695_2,1,0,0,0,0,0
1717280695_3,1,0,0,1,0,0
1717280695_4,1,0,0,0,0,0
1717280695_51,1,0,0,0,0,0
1717280696_1,1,0,0,0,0,0
1717280696_21,1,0,0,0,0,0
1717280696_4,1,0,0,0,0,0
1717280696_5,1,0,0,0,0,0
1717280697_0,1,0,0,0,0,0
1717280697_1,1,0,0,0,0,0
1717280697_2,1,0,0,0,0,0
1717280697_3,1,0,0,0,0,0
1717280697_4,1,0,0,1,0,0
1717280697_533,1,0,0,0,0,0
1717280698_1,1,0,0,1,0,0
1717280698_233,1,0,0,1,0,0
1717280698_4,1,0,0,1,0,0
1717280698_5,1,0,0,1,0,0
1717280699_01,1,0,0,1,0,0
1717280699_2,1,0,0,0,0,0
1717280699_31,1,0,0,0,0,0
1717280699_5,1,0,0,0,0,0
1717280700_01,1,0,0,0,0,0
1717280700_2,1,0,0,0,0,0
1717280700_3,1,0,1,0,0,0
1717280700_4,1,0,0,0,0,0
1717280700_51,1,0,0,0,0,0
1717280701_11,1,0,0,0,0,0
1717280701_3,1,0,0,0,0,0
1717280701_417,1,0,1,0,0,0
1717280702_0,1,0,0,1,0,0
1717280702_1,1,0,0,1,0,0
1717280702_2,1,0,0,1,0,0
1717280702_3,1,0,0,1,0,0
1717280702_433,1,0,0,1,0,0
1717280703_0,1,0,0,1,0,0
1717280703_1,1,0,1,0,0,0
1717280703_2,1,0,1,0,0,0
1717280703_3,1,0,1,0,0,0
1717280703_417,1,0,0,0,0,0
1717280704_0,1,0,1,0,0,0
1717280704_1,1,0,1,0,0,0
1717280704_217,1,0,1,0,0,0
1717280704_4,1,0,0,0,0,0
1717280704_5,1,0,0,0,0,0
1717280705_0,1,0,0,0,0,0
1717280705_1,1,0,0,1,0,0
1717280705_2,1,0,0,0,0,0
1717280705_3,1,0,0,1,0,0
1717280705_4,1,0,0,1,0,0
1717280705_5,1,0,0,0,0,0
1717280706_0,1,0,0,1,0,0
1717280706_1,1,0,0,0,0,0
1717280706_2,1,0,0,0,0,0
1717280706_3,1,0,0,0,0,0
1717280706_4,1,0,0,0,0,0
1717280706_5,1,0,0,0,0,0
1717280707_01,1,0,0,1,0,0
1717280707_2,1,0,0,0,0,0
1717280707_333,1,0,0,0,0,0
1717280707_5,1,0,0,1,0,0
1717280708_0,1,0,0,1,0,0
1717280708_1,1,0,0,0,0,0
1717280708_2,1,0,1,0,0,0
1717280708_3,1,0,1,0,0,0
1717280708_4513,1,0,1,0,0,0
1717280709_0,1,0,0,0,0,0
1717280709_1,1,0,0,1,0,0
1717280709_2,1,0,0,0,0,0
1717280709_3,1,0,0,0,0,0
1717280709_4,1,0,0,1,0,0
1717280709_5,1,0,0,1,0,0
1717280710_0,1,0,0,1,0,0
1717280710_1,1,0,0,1,0,0
1717280710_233,1,0,0,0,0,0
1717280710_4,1,0,0,1,0,0
1717280710_5,1,0,0,1,0,0
1717280711_0,1,0,0,1,0,0
1717280711_1,1,0,0,0,0,0
1717280711_2,1,0,1,0,0,0
1717280711_317,1,0,1,0,0,0
1717280711_5,1,0,1,0,0,0
1717280712_0,1,0,0,0,0,0
1717280712_1,1,0,0,0,0,0
1717280712_21,1,0,0,1,0,0
1717280712_4,1,0,0,0,0,0
1717280712_533,1,0,0,0,0,0
1717280713_1,1,0,0,1,0,0
1717280713_2,1,0,0,0,0,0
1717280713_3,1,0,0,0,0,0
1717280713_41,1,0,0,0,0,0
1717280714_0,1,0,0,0,0,0
1717280714_1,1,0,0,0,0,0
1717280714_2,1,0,0,1,0,0
1717280714_3,1,0,0,0,0,0
1717280714_4,1,0,0,0,0,0
1717280714_5,1,0,1,0,0,0
1717280715_0,1,0,0,1,0,0
1717280715_1,1,0,0,1,0,0
1717280715_233,1,0,0,1,0,0
1717280715_4,0,0,0,0,0,0
1717280715_5,1,0,0,0,0,0
1717280716_0,1,0,1,0,0,0
1717280716_1,1,0,1,0,0,0
1717280716_233,1,0,0,1,0,0
1717280716_4,1,0,0,1,0,0
1717280716_5,1,0,0,1,0,0
1717280717_0,1,0,0,1,0,0
1717280717_1,1,0,0,1,0,0
1717280717_2,1,0,0,1,0,0
1717280717_3,1,0,0,1,0,0
1717280717_4,1,0,0,1,0,0
1717280717_51,1,0,0,1,0,0
1717280718_1,1,0,0,0,0,0
1717280718_2,1,0,0,0,0,0
1717280718_31,1,0,0,0,0,0
1717280718_51,1,0,0,0,0,0
1717280719_1,1,0,0,0,0,0
1717280719_2,1,0,0,0,0,0
1717280719_31,1,0,0,0,0,0
1717280719_5,1,0,1,0,0,0
1717280720_0,1,0,1,0,0,0
1717280720_1,1,0,1,0,0,0
1717280720_2,1,0,0,0,0,0
1717280720_31,1,0,0,0,0,0
1717280720_5,1,0,1,0,0,0
1717280721_0,1,0,1,0,0,0
1717280721_1,1,0,1,0,0,0
1717280721_2,1,0,1,0,0,0
1717280721_3,1,0,0,0,0,0
1717280721_433,1,0,0,1,0,0
1717280722_0,1,0,0,1,0,0
1717280722_1,1,0,0,1,0,0
1717280722_2,1,0,0,0,0,0
1717280722_3,1,0,0,1,0,0
1717280722_417,1,0,1,0,0,0
1717280723_0,1,0,1,0,0,0
1717280723_1,1,0,0,0,0,0
1717280723_21,1,0,1,0,0,0
1717280723_4,1,0,0,0,0,0
1717280723_5,1,0,0,1,0,0
1717280724_0,1,0,0,1,0,0
1717280724_133,1,0,0,1,0,0
1717280724_3,1,0,0,1,0,0
1717280724_4,1,0,0,1,0,0
1717280724_5,1,0,0,1,0,0
1717280725_0,1,0,0,1,0,0
1717280725_1,1,0,0,0,0,0
1717280725_2,1,0,0,0,0,0
1717280725_3,1,0,0,1,0,0
1717280725_41,1,0,0,1,0,0
1717280726_0,1,0,0,0,0,0
1717280726_1,1,0,1,0,0,0
1717280726_2,1,0,1,0,0,0
1717280726_317,1,0,1,0,0,0
1717280726_5,1,0,0,0,0,0
1717280727_0,1,0,0,0,0,0
1717280727_1,1,0,0,1,0,0
1717280727_2,1,0,0,1,0,0
1717280727_3,1,0,0,1,0,0
1717280727_417,1,0,0,0,0,0
1717280728_0,1,0,1,0,0,0
1717280728_1,1,0,1,0,0,0
1717280728_2,1,0,0,1,0,0
1717280728_3,1,0,0,0,0,0
1717280728_433,1,0,0,0,0,0
1717280729_0,1,0,0,1,0,0
1717280729_1,1,0,0,1,0,0
1717280729_2,1,0,0,0,0,0
1717280729_317,1,0,1,0,0,0
1717280729_5,1,0,1,0,0,0
1717280730_0,1,0,1,0,0,0
1717280730_1,1,0,1,0,0,0
1717280730_21,1,0,0,0,0,0
1717280730_4,1,0,0,1,0,0
1717280730_5,1,0,0,1,0,0
1717280731_0,1,0,0,1,0,0
1717280731_1,1,0,0,1,0,0
1717280731_233,1,0,0,1,0,0
1717280731_4,1,0,0,1,0,0
1717280731_5,1,0,0,0,0,0
1717280732_01,1,0,0,0,0,0
1717280732_2,1,0,0,0,0,0
1717280732_3,1,0,0,0,0,0
1717280732_41,1,0,0,0,0,0
1717280733_0,1,0,0,0,0,0
1717280733_1,1,0,0,0,0,0
1717280733_2,1,0,0,0,0,0
1717280733_31,1,0,1,0,0,0
1717280733_5,1,0,0,0,0,0
1717280734_0,1,0,0,0,0,0
1717280734_1,1,0,0,0,0,0
1717280734_21,1,0,0,0,0,0
1717280734_4,1,0,0,0,0,0
1717280734_5,1,0,0,0,0,0
1717280735_0,1,0,0,0,0,0
1717280735_1,1,0,0,0,0,0
1717280735_2,1,0,0,0,0,0
1717280735_3,1,0,0,0,0,0
1717280735_4,1,0,0,1,0,0
1717280735_533,1,0,0,1,0,0
1717280736_1,1,0,0,1,0,0
1717280736_2,1,0,0,1,0,0
1717280736_3,1,0,0,1,0,0
1717280736_4,1,0,0,0,0,0
1717280736_5,1,0,0,0,0,0
1717280737_0,1,0,1,0,0,0
1717280737_11,1,0,0,0,0,0
1717280737_3,1,0,0,0,0,0
1717280737_4,1,0,1,0,0,0
1717280737_5,1,0,0,0,0,0
1717280738_0,1,0,0,0,0,0
1717280738_1,1,0,1,0,0,0
1717280738_21,1,0,0,0,0,0
1717280738_4,1,0,1,0,0,0
1717280738_517,1,0,0,0,0,0
1717280739_1,1,0,0,0,0,0
1717280739_2,1,0,0,0,0,0
1717280739_3,1,0,0,0,0,0
1717280739_433,1,0,0,1,0,0
1717280740_0,1,0,0,1,0,0
1717280740_1,1,0,0,0,0,0
1717280740_2,1,0,0,0,0,0
1717280740_3,1,0,0,0,0,0
1717280740_4,1,0,1,0,0,0
1717280740_5,1,0,1,0,0,0
1717280741_0,1,0,0,0,0,0
1717280741_133,1,0,0,1,0,0
1717280741_333,1,0,0,1,0,0
1717280741_5,1,0,0,1,0,0
1717280742_0,1,0,0,0,0,0
1717280742_1,1,0,1,0,0,0
1717280742_21,1,0,0,0,0,0
1717280742_4,1,0,0,1,0,0
1717280742_533,1,0,0,0,0,0
1717280743_1,1,0,0,1,0,0
1717280743_2,1,0,0,1,0,0
1717280743_3,1,0,0,1,0,0
1717280743_4,1,0,0,0,0,0
1717280743_5,1,0,0,0,0,0
1717280744_033,1,0,0,1,0,0
1717280744_2,1,0,0,0,0,0
1717280744_3,1,0,0,0,0,0
1717280744_4,1,0,0,0,0,0
1717280744_5,1,0,0,0,0,0
1717280745_01,1,0,0,0,0,0
1717280745_2,1,0,0,0,0,0
1717280745_3,1,0,0,0,0,0
1717280745_4,1,0,1,0,0,0
1717280745_51,1,0,1,0,0,0
1717280746_1,1,0,1,0,0,0
1717280746_2,1,0,1,0,0,0
1717280746_3,1,0,1,0,0,0
1717280746_4,1,0,1,0,0,0
1717280746_5,1,0,1,0,0,0
1717280747_0,1,0,0,0,0,0
1717280747_11,1,0,0,1,0,0
1717280747_3,1,0,1,0,0,0
1717280747_4,1,0,0,0,0,0
1717280747_5,1,0,0,1,0,0
1717280748_0,1,0,0,1,0,0
1717280748_1,1,0,0,0,0,0
1717280748_217,1,0,1,0,0,0
1717280748_4,1,0,1,0,0,0
1717280748_5,1,0,1,0,0,0
1717280749_0,1,0,1,0,0,0
1717280749_1,1,0,1,0,0,0
1717280749_2,1,0,0,1,0,0
1717280749_3,1,0,0,1,0,0
1717280749_4,1,0,0,1,0,0
1717280749_5,1,0,0,1,0,0
1717280750_0,1,0,0,1,0,0
1717280750_1,1,0,0,0,0,0
1717280750_2,1,0,0,0,0,0
1717280750_317,1,0,0,0,0,0
1717280750_5,1,0,0,1,0,0
1717280751_0,1,0,0,0,0,0
1717280751_11,1,0,0,1,0,0
1717280751_3,1,0,0,1,0,0
1717280751_4,1,0,0,1,0,0
1717280751_5,1,0,0,1,0,0
1717280752_0,1,0,0,1,0,0
1717280752_133,1,0,0,1,0,0
1717280752_3,1,0,0,1,0,0
1717280752_4,1,0,0,0,0,0
1717280752_5,1,0,0,1,0,0
1717280753_0,1,0,0,1,0,0
1717280753_1,1,0,0,0,0,0
1717280753_21,1,0,0,0,0,0
1717280753_4,1,0,0,0,0,0
1717280753_5,1,0,0,0,0,0
1717280754_0,1,0,1,0,0,0
1717280754_1,1,0,0,0,0,0
1717280754_2,1,0,0,1,0,0
1717280754_3,1,0,0,0,0,0
1717280754_4,1,0,0,0,0,0
1717280754_5,1,0,0,0,0,0
1717280755_0,1,0,0,0,0,0
1717280755_133,1,0,0,1,0,0
1717280755_3,1,0,0,0,0,0
1717280755_4,1,0,0,1,0,0
1717280755_51,1,0,0,0,0,0
1717280756_133,1,0,0,0,0,0
1717280756_3,1,0,0,1,0,0
1717280756_433,1,0,0,0,0,0
1717280757_0,1,0,1,0,0,0
1717280757_1,1,0,1,0,0,0
1717280757_2,1,0,1,0,0,0
1717280757_3,1,0,1,0,0,0
1717280757_4,1,0,1,0,0,0
1717280757_5,1,0,1,0,0,0
1717280758_0,1,0,1,0,0,0
1717280758_11,1,0,0,0,0,0
1717280758_31,1,0,0,0,0,0
1717280758_5,1,0,0,1,0,0
1717280759_0,1,0,0,1,0,0
1717280759_1,1,0,0,1,0,0
1717280759_233,1,0,0,1,0,0
1717280759_4,1,0,0,0,0,0
1717280759_5,1,0,0,1,0,0
1717280760_01,1,0,0,0,0,0
1717280760_21,1,0,1,0,0,0
1717280760_4,1,0,0,1,0,0
1717280760_5,1,0,0,0,0,0
1717280761_0,1,0,0,0,0,0
1717280761_1,1,0,1,0,0,0
1717280761_2,1,0,1,0,0,0
1717280761_3,1,0,1,0,0,0
1717280761_4,1,0,0,1,0,0
1717280761_533,1,0,0,1,0,0
1717280762_1,1,0,0,1,0,0
1717280762_21,1,0,0,1,0,0
1717280762_4,1,0,0,0,0,0
1717280762_5,1,0,0,0,0,0
1717280763_033,1,0,0,0,0,0
1717280763_2,1,0,0,0,0,0
1717280763_3,1,0,0,0,0,0
1717280763_4,1,0,0,0,0,0
1717280763_5,1,0,0,1,0,0
1717280764_033,1,0,0,1,0,0
1717280764_2,1,0,0,1,0,0
1717280764_3,1,0,0,1,0,0
1717280764_4,1,0,0,1,0,0
1717280764_5,1,0,1,0,0,0
1717280765_017,1,0,1,0,0,0
1717280765_2,1,0,1,0,0,0
1717280765_3,1,0,1,0,0,0
1717280765_41,1,0,1,0,0,0
1717280766_0,1,0,0,0,0,0
1717280766_11,1,0,0,1,0,0
1717280766_3,1,0,0,0,0,0
1717280766_4,1,0,0,1,0,0
1717280766_5,1,0,1,0,0,0
1717280767_017,1,0,0,0,0,0
1717280767_2,1,0,0,0,0,0
1717280767_3,1,0,0,0,0,0
1717280767_4,1,0,0,0,0,0
1717280767_5,1,0,0,0,0,0
1717280768_0,1,0,0,1,0,0
1717280768_11,1,0,0,0,0,0
1717280768_3,1,0,0,1,0,0
1717280768_4,1,0,0,1,0,0
1717280768_5,1,0,0,1,0,0
1717280769_01,1,0,0,1,0,0
1717280769_2,1,0,1,0,0,0
1717280769_31,1,0,1,0,0,0
1717280769_5,1,0,0,1,0,0
1717280770_0,1,0,0,1,0,0
1717280770_133,1,0,0,1,0,0
1717280770_3,1,0,0,1,0,0
1717280770_4,1,0,0,1,0,0
1717280770_533,1,0,0,1,0,0
1717280771_1,1,0,0,0,0,0
1717280771_2,1,0,1,0,0,0
1717280771_317,1,0,1,0,0,0
1717280771_5,1,0,1,0,0,0
1717280772_01,1,0,1,0,0,0
1717280772_2,1,0,0,0,0,0
1717280772_3,1,0,0,0,0,0
1717280772_433,1,0,0,0,0,0
1717280773_0,1,0,0,1,0,0
1717280773_1,1,0,1,0,0,0
1717280773_2,1,0,1,0,0,0
1717280773_3,1,0,0,0,0,0
1717280773_4,1,0,0,0,0,0
1717280773_5,1,0,0,0,0,0
