timestamp,a,b,right,left,down,rb
1716674550_0,0,0,0,0,0,0
1716674550_1,0,0,0,0,0,0
1716674550_2,0,0,0,0,0,0
1716674550_3,0,0,0,0,0,0
1716674550_4,0,0,0,0,0,0
1716674551_0,0,0,0,0,0,0
1716674551_1,0,0,0,0,0,0
1716674551_2,0,0,0,0,0,0
1716674551_3,0,0,0,0,0,0
1716674551_4,0,0,0,0,0,0
1716674551_50,0,0,0,0,0,0
1716674552_1,0,0,0,0,0,0
1716674552_2,0,0,0,0,0,0
1716674552_3,0,0,0,0,0,0
1716674552_4,0,0,0,0,0,0
1716674552_5,0,0,0,0,0,0
1716674553_00,0,0,0,0,0,0
1716674553_2,0,0,0,0,0,0
1716674553_3,0,0,0,0,0,0
1716674553_4,0,0,0,0,0,0
1716674553_5,0,0,0,0,0,0
1716674554_0,0,0,0,0,0,0
1716674554_1,0,0,0,0,0,0
1716674554_2,0,0,0,0,0,0
1716674554_30,0,0,0,0,0,0
1716674554_5,0,0,0,0,0,0
1716674555_0,0,0,0,0,0,0
1716674555_1,0,0,0,0,0,0
1716674555_2,0,0,0,0,0,0
1716674555_3,0,0,0,0,0,0
1716674555_4,0,0,0,0,0,0
1716674555_50,0,0,0,0,0,0
1716674556_1,0,0,0,0,0,0
1716674556_20,0,0,0,0,0,0
1716674556_4,0,0,0,0,0,0
1716674556_5,0,0,0,0,0,0
1716674557_0,0,0,0,0,0,0
1716674557_1,0,0,0,0,0,0
1716674557_20,0,0,0,0,0,0
1716674557_4,0,0,0,0,0,0
1716674557_5,0,0,0,0,0,0
