timestamp,a,b,right,left,down,rb
1716678851_0,0,0,0,0,0,0
1716678851_1,0,0,0,0,0,0
1716678851_2,0,0,0,0,0,0
1716678852_0,0,0,0,0,0,0
1716678852_10,0,0,0,0,0,0
1716678852_3,0,0,0,0,0,0
1716678852_40,0,0,0,0,0,0
1716678853_1,0,0,0,0,0,0
1716678853_2,0,0,0,0,0,0
1716678853_3,0,0,0,0,0,0
1716678853_4,0,0,0,0,0,0
1716678854_0,0,0,0,0,0,0
1716678854_1,0,0,0,0,0,0
1716678854_2,1,0,0,0,0,0
1716678854_3,1,0,0,0,0,0
1716678855_0,1,0,0,0,0,0
1716678855_1,1,0,0,0,0,0
1716678855_2,1,0,0,0,0,0
1716678855_3,1,0,0,0,0,0
1716678855_4,1,0,0,0,0,0
1716678856_0,1,0,0,0,0,0
1716678856_1,1,0,0,1,0,0
1716678856_2,1,0,0,0,0,0
1716678856_3,1,0,0,0,0,0
1716678856_4,1,0,0,0,0,0
1716678857_0,1,0,0,0,0,0
1716678857_1,1,0,0,0,0,0
1716678857_2,1,0,0,0,0,0
1716678857_3,1,0,0,1,0,0
1716678858_0,1,0,0,1,0,0
1716678858_1,1,0,0,1,0,0
1716678858_2,1,0,0,0,0,0
1716678858_3,1,0,0,1,0,0
1716678858_4,1,0,0,0,0,0
1716678859_0,1,0,0,0,0,0
1716678859_1,1,0,0,1,0,0
1716678859_2,1,0,0,0,0,0
1716678859_3,1,0,0,1,0,0
1716678859_4,1,0,0,0,0,0
1716678860_0,1,0,0,0,0,0
1716678860_1,1,0,0,0,0,0
1716678860_2,1,0,1,0,0,0
1716678860_3,1,0,1,0,0,0
1716678861_0,1,0,0,0,0,0
1716678861_1,1,0,0,0,0,0
1716678861_2,1,0,0,0,0,0
1716678861_3,1,0,1,0,0,0
1716678861_4,1,0,0,0,0,0
1716678862_0,1,0,1,0,0,0
1716678862_1,1,0,0,0,0,0
1716678862_2,1,0,0,0,0,0
1716678862_3,1,0,0,0,0,0
1716678862_4,1,0,1,0,0,0
1716678863_0,1,0,0,0,0,0
1716678863_1,1,0,0,0,0,0
1716678863_2,1,0,0,0,0,0
1716678863_3,1,0,0,0,0,0
1716678864_0,1,0,0,0,0,0
1716678864_1,1,0,0,0,0,0
1716678864_2,1,0,0,0,0,0
1716678864_3,1,0,0,0,0,0
1716678864_4,1,0,0,1,0,0
1716678865_0,1,0,0,0,0,0
1716678865_1,1,0,0,0,0,0
1716678865_2,1,0,0,0,0,0
1716678865_3,1,0,0,0,0,0
1716678866_0,1,0,0,0,0,0
1716678866_1,1,0,0,1,0,0
1716678866_2,1,0,0,0,0,0
1716678866_3,1,0,0,0,0,0
1716678866_4,1,0,0,0,0,0
1716678867_0,1,0,0,1,0,0
1716678867_1,1,0,0,0,0,0
1716678867_2,1,0,0,0,0,0
1716678867_3,1,0,0,0,0,0
1716678867_4,1,0,0,1,0,0
1716678868_0,1,0,0,0,0,0
1716678868_1,1,0,0,0,0,0
1716678868_2,1,0,0,0,0,0
1716678868_3,1,0,0,1,0,0
1716678869_0,1,0,0,1,0,0
1716678869_1,1,0,0,1,0,0
1716678869_2,1,0,0,1,0,0
1716678869_3,1,0,0,1,0,0
1716678869_4,1,0,0,1,0,0
1716678870_0,1,0,0,0,0,0
1716678870_1,1,0,0,1,0,0
1716678870_2,1,0,0,1,0,0
1716678870_3,1,0,0,1,0,0
1716678870_4,1,0,0,0,0,0
1716678871_0,1,0,0,0,0,0
1716678871_1,1,0,0,0,0,0
1716678871_2,1,0,0,0,0,0
1716678871_3,1,0,0,1,0,0
1716678872_0,1,0,0,0,0,0
1716678872_1,1,0,0,0,0,0
1716678872_2,1,0,1,0,0,0
1716678872_3,1,0,0,0,0,0
1716678872_4,1,0,0,0,0,0
1716678873_0,1,0,0,0,0,0
1716678873_1,1,0,1,0,0,0
1716678873_2,1,0,0,0,0,0
1716678873_3,1,0,0,0,0,0
1716678874_0,1,0,0,0,0,0
1716678874_1,1,0,0,0,0,0
1716678874_2,1,0,0,0,0,0
1716678874_3,1,0,1,0,0,0
1716678874_4,1,0,0,0,0,0
1716678875_0,1,0,0,0,0,0
1716678875_1,1,0,0,0,0,0
1716678875_2,1,0,1,0,0,0
1716678875_3,1,0,0,0,0,0
1716678875_4,1,0,0,0,0,0
1716678876_0,1,0,1,0,0,0
1716678876_1,1,0,1,0,0,0
1716678876_2,1,0,0,0,0,0
1716678876_3,1,0,0,0,0,0
1716678877_0,1,0,1,0,0,0
1716678877_1,1,0,1,0,0,0
1716678877_2,1,0,1,0,0,0
1716678877_3,1,0,0,0,0,0
1716678877_4,1,0,0,0,0,0
1716678878_0,1,0,0,0,0,0
1716678878_1,1,0,0,0,0,0
1716678878_2,1,0,0,0,0,0
1716678878_3,1,0,0,0,0,0
1716678878_4,1,0,0,0,0,0
1716678879_0,1,0,0,1,0,0
1716678879_1,1,0,0,0,0,0
1716678879_2,1,0,0,0,0,0
1716678879_3,1,0,1,0,0,0
1716678880_0,1,0,0,1,0,0
1716678880_1,1,0,0,1,0,0
1716678880_2,1,0,0,1,0,0
1716678880_3,1,0,0,0,0,0
1716678880_4,1,0,0,0,0,0
1716678881_0,1,0,0,0,0,0
1716678881_1,1,0,0,1,0,0
1716678881_2,1,0,0,1,0,0
1716678881_3,1,0,0,1,0,0
1716678882_0,1,0,0,1,0,0
1716678882_1,1,0,0,0,0,0
1716678882_2,1,0,0,1,0,0
1716678882_3,1,0,0,0,0,0
1716678882_4,1,0,0,0,0,0
1716678883_0,1,0,1,0,0,0
1716678883_1,1,0,1,0,0,0
1716678883_2,1,0,0,0,0,0
1716678883_3,1,0,0,0,0,0
1716678883_4,1,0,0,1,0,0
1716678884_0,1,0,0,0,0,0
1716678884_1,1,0,1,0,0,0
1716678884_2,1,0,0,0,0,0
1716678884_3,1,0,0,0,0,0
1716678885_0,1,0,0,0,0,0
1716678885_1,1,0,0,0,0,0
1716678885_2,1,0,0,0,0,0
1716678885_3,1,0,0,0,0,0
1716678886_0,1,0,0,0,0,0
1716678886_1,1,0,0,0,0,0
1716678886_2,1,0,0,0,0,0
1716678886_3,1,0,0,1,0,0
1716678886_4,1,0,0,0,0,0
1716678887_0,1,0,0,1,0,0
1716678887_1,1,0,0,1,0,0
1716678887_2,1,0,0,1,0,0
1716678887_3,1,0,0,1,0,0
1716678887_4,1,0,0,0,0,0
1716678888_0,1,0,1,0,0,0
1716678888_1,1,0,1,0,0,0
1716678888_2,1,0,1,0,0,0
1716678888_3,1,0,0,0,0,0
1716678889_0,1,0,0,0,0,0
1716678889_1,1,0,0,0,0,0
1716678889_2,1,0,0,1,0,0
1716678889_3,1,0,0,1,0,0
1716678889_4,1,0,0,1,0,0
1716678890_0,1,0,0,0,0,0
1716678890_1,1,0,0,0,0,0
1716678890_2,1,0,1,0,0,0
1716678890_3,1,0,0,0,0,0
1716678891_0,1,0,0,1,0,0
1716678891_1,1,0,0,0,0,0
1716678891_2,1,0,0,0,0,0
1716678891_3,1,0,0,1,0,0
1716678891_4,1,0,0,0,0,0
1716678892_0,1,0,0,1,0,0
1716678892_1,1,0,0,1,0,0
1716678892_2,1,0,0,0,0,0
1716678892_3,1,0,1,0,0,0
1716678892_4,1,0,1,0,0,0
1716678893_0,1,0,0,0,0,0
1716678893_1,1,0,0,0,0,0
1716678893_2,1,0,1,0,0,0
1716678893_3,1,0,1,0,0,0
1716678894_0,1,0,0,0,0,0
1716678894_1,1,0,0,0,0,0
1716678894_2,1,0,0,0,0,0
1716678894_3,1,0,0,0,0,0
1716678894_4,1,0,0,0,0,0
1716678895_0,1,0,0,0,0,0
1716678895_1,1,0,0,0,0,0
1716678895_2,1,0,0,1,0,0
1716678895_3,1,0,0,0,0,0
1716678895_4,1,0,1,0,0,0
1716678896_0,1,0,0,0,0,0
1716678896_1,1,0,0,0,0,0
1716678896_2,1,0,0,0,0,0
1716678896_3,1,0,0,0,0,0
1716678897_0,1,0,0,0,0,0
1716678897_1,1,0,0,0,0,0
1716678897_2,1,0,0,0,0,0
1716678897_3,1,0,0,0,0,0
1716678897_4,1,0,0,0,0,0
1716678898_0,1,0,0,0,0,0
1716678898_1,1,0,0,0,0,0
1716678898_2,1,0,0,1,0,0
1716678898_3,1,0,0,1,0,0
1716678898_4,1,0,0,0,0,0
1716678899_0,1,0,0,0,0,0
1716678899_1,1,0,0,1,0,0
1716678899_2,1,0,0,1,0,0
1716678899_3,1,0,0,0,0,0
1716678899_4,1,0,0,1,0,0
1716678900_0,1,0,0,0,0,0
1716678900_1,1,0,0,1,0,0
1716678900_2,1,0,0,0,0,0
1716678900_3,1,0,1,0,0,0
1716678901_0,1,0,1,0,0,0
1716678901_1,1,0,1,0,0,0
1716678901_2,1,0,0,0,0,0
1716678901_3,1,0,0,1,0,0
1716678901_4,1,0,0,0,0,0
1716678902_0,1,0,0,0,0,0
1716678902_1,1,0,0,0,0,0
1716678902_2,1,0,1,0,0,0
1716678902_3,1,0,0,0,0,0
1716678903_0,1,0,1,0,0,0
1716678903_1,1,0,0,0,0,0
1716678903_2,1,0,1,0,0,0
1716678903_3,1,0,0,0,0,0
1716678903_4,1,0,0,0,0,0
1716678904_0,1,0,0,1,0,0
1716678904_1,1,0,0,1,0,0
1716678904_2,1,0,0,1,0,0
1716678904_3,1,0,0,0,0,0
1716678904_4,1,0,0,0,0,0
1716678905_0,1,0,1,0,0,0
1716678905_1,1,0,1,0,0,0
1716678905_2,1,0,0,0,0,0
1716678905_3,1,0,0,0,0,0
1716678906_0,1,0,0,1,0,0
1716678906_1,1,0,0,1,0,0
1716678906_2,1,0,0,0,0,0
1716678906_3,1,0,0,0,0,0
1716678906_4,1,0,0,0,0,0
1716678907_0,1,0,0,1,0,0
1716678907_1,1,0,0,0,0,0
1716678907_2,1,0,0,0,0,0
1716678907_3,1,0,0,0,0,0
1716678907_4,1,0,0,0,0,0
1716678908_0,1,0,0,1,0,0
1716678908_1,1,0,0,0,0,0
1716678908_2,1,0,0,0,0,0
1716678908_3,1,0,0,1,0,0
1716678909_0,1,0,0,0,0,0
1716678909_1,1,0,0,1,0,0
1716678909_2,1,0,0,1,0,0
1716678909_3,1,0,0,1,0,0
1716678909_4,1,0,0,1,0,0
1716678910_0,1,0,0,1,0,0
1716678910_1,1,0,0,1,0,0
1716678910_2,1,0,0,0,0,0
1716678910_3,1,0,0,1,0,0
1716678911_0,1,0,0,1,0,0
1716678911_1,1,0,0,0,0,0
1716678911_2,1,0,0,0,0,0
1716678911_3,1,0,1,0,0,0
1716678911_4,1,0,0,0,0,0
1716678912_0,1,0,0,0,0,0
1716678912_1,1,0,0,0,0,0
1716678912_2,1,0,0,0,0,0
1716678912_3,1,0,0,0,0,0
1716678912_4,1,0,0,0,0,0
1716678913_0,1,0,0,0,0,0
1716678913_1,1,0,0,0,0,0
1716678913_2,1,0,0,0,0,0
1716678913_3,1,0,0,0,0,0
1716678914_0,1,0,1,0,0,0
1716678914_1,1,0,0,0,0,0
1716678914_2,1,0,0,0,0,0
1716678914_3,1,0,0,0,0,0
1716678914_4,1,0,0,0,0,0
1716678915_0,1,0,1,0,0,0
1716678915_1,1,0,1,0,0,0
1716678915_2,1,0,0,0,0,0
1716678915_3,1,0,0,0,0,0
1716678915_4,1,0,0,0,0,0
1716678916_0,1,0,0,0,0,0
1716678916_1,1,0,0,0,0,0
1716678916_2,1,0,1,0,0,0
1716678916_3,1,0,1,0,0,0
1716678917_0,1,0,1,0,0,0
1716678917_1,1,0,0,0,0,0
