timestamp,a,b,right,left,down,rb
1716680876_50,0,0,0,0,0,0
1716680981_0,0,0,0,0,0,0
1716680982_0,0,0,0,0,0,0
1716680982_1,0,0,0,0,0,0
1716680982_2,0,0,0,0,0,0
1716680982_30,0,0,0,0,0,0
1716680982_5,0,0,0,0,0,0
1716680983_0,0,0,0,0,0,0
1716680983_10,0,0,0,0,0,0
1716680983_3,0,0,0,0,0,0
1716680983_40,0,0,0,0,0,0
1716680984_00,0,0,0,0,0,0
1716680984_2,0,0,0,0,0,0
1716680984_3,0,0,0,0,0,0
1716680984_41,0,0,0,0,0,0
1716680985_0,0,0,0,0,0,0
1716680985_1,0,0,0,0,0,0
1716680985_2,0,0,0,0,0,0
1716680985_3,0,0,0,0,0,0
1716680985_40,0,0,0,0,0,0
1716680986_0,1,0,0,0,0,0
1716680986_1,1,0,0,0,0,0
1716680986_2,1,0,0,0,0,0
1716680986_3,1,0,0,0,0,0
1716680986_4,1,0,0,1,0,0
1716680986_517,1,0,0,0,0,0
1716680987_1,1,0,1,0,0,0
1716680987_2,1,0,1,0,0,0
1716680987_3,1,0,1,0,0,0
1716680987_4,1,0,0,0,0,0
1716680987_5,1,0,0,1,0,0
1716680988_0,1,0,0,0,0,0
1716680988_1,1,0,0,0,0,0
1716680988_2,1,0,0,1,0,0
1716680988_3,1,0,0,1,0,0
1716680988_4,1,0,0,0,0,0
1716680989_0,1,0,0,1,0,0
1716680989_1,1,0,0,0,0,0
1716680989_2,1,0,1,0,0,0
1716680989_3,1,0,1,0,0,0
1716680989_433,1,0,1,0,0,0
1716680989_6,1,0,0,1,0,0
1716680990_0,1,0,0,1,0,0
1716680990_1,1,0,0,1,0,0
1716680990_233,1,0,0,1,0,0
1716680990_4,1,0,0,1,0,0
1716680990_5,1,0,0,0,0,0
1716680991_0,1,0,0,0,0,0
1716680991_1,1,0,0,0,0,0
1716680991_2,1,0,0,0,0,0
1716680991_333,1,0,0,0,0,0
1716680991_5,1,0,0,0,0,0
1716680992_0,1,0,0,0,0,0
1716680992_1,1,0,0,0,0,0
1716680992_2,1,0,0,0,0,0
1716680992_3,1,0,0,0,0,0
1716680992_41,1,0,0,1,0,0
1716680993_0,1,0,0,0,0,0
1716680993_1,1,0,0,0,0,0
1716680993_2,1,0,0,0,0,0
1716680993_3,1,0,0,1,0,0
1716680993_4,1,0,0,1,0,0
1716680993_5,1,0,0,1,0,0
1716680994_0,1,0,0,0,0,0
1716680994_1,1,0,1,0,0,0
1716680994_2,1,0,0,0,0,0
1716680994_3,1,0,0,0,0,0
1716680994_4,1,0,0,0,0,0
1716680994_51,1,0,0,0,0,0
1716680995_1,1,0,1,0,0,0
1716680995_2,1,0,1,0,0,0
1716680995_31,1,0,0,0,0,0
1716680996_0,1,0,0,1,0,0
1716680996_1,1,0,0,0,0,0
1716680996_2,1,0,0,0,0,0
1716680996_3,1,0,0,0,0,0
1716680996_4,1,0,0,1,0,0
1716680996_5,1,0,1,0,0,0
1716680996_6,1,0,0,0,0,0
1716680997_017,1,0,0,0,0,0
1716680997_2,1,0,0,1,0,0
1716680997_3,1,0,0,1,0,0
1716680997_4,1,0,0,1,0,0
1716680997_51,1,0,0,0,0,0
1716680998_1,1,0,0,0,0,0
1716680998_2,1,0,0,1,0,0
1716680998_3,1,0,0,1,0,0
