timestamp,a,b,right,left,down,rb
1716679657_2,0,0,0,0,0,0
1716679856_00,0,0,0,0,0,0
1716679857_1,0,0,0,0,0,0
1716679857_20,0,0,0,0,0,0
1716679857_40,0,0,0,0,0,0
1716679858_0,0,0,0,0,0,0
1716679858_1,0,0,0,0,0,0
1716679858_20,0,0,0,0,0,0
1716679858_5,0,0,0,0,0,0
1716679859_0,0,0,0,0,0,0
1716679859_10,0,0,0,0,0,0
1716679859_3,0,0,0,0,0,0
1716679859_4,0,0,0,0,0,0
1716679859_51,1,0,0,0,0,0
1716679860_1,1,0,0,0,0,0
1716679860_2,1,0,0,0,0,0
1716679860_3,1,0,0,0,0,0
1716679860_4,1,0,0,0,0,0
1716679860_5,1,0,0,0,0,0
1716679861_0,1,0,0,0,0,0
1716679861_1,1,0,0,0,0,0
1716679861_2,1,0,0,0,0,0
1716679861_317,1,0,0,0,0,0
1716679861_5,1,0,0,0,0,0
1716679862_0,1,0,0,0,0,0
1716679862_1,1,0,0,1,0,0
1716679862_21,1,0,0,0,0,0
1716679862_4,1,0,1,0,0,0
1716679862_5,1,0,0,0,0,0
1716679863_0,1,0,0,0,0,0
1716679863_1,1,0,0,1,0,0
1716679863_21,1,0,0,0,0,0
1716679863_4,1,0,0,0,0,0
1716679863_5,1,0,1,0,0,0
1716679864_01,1,0,0,0,0,0
1716679864_2,1,0,0,0,0,0
1716679864_3,1,0,0,0,0,0
1716679864_4,1,0,0,1,0,0
1716679864_517,1,0,1,0,0,0
1716679865_1,1,0,1,0,0,0
1716679865_2,1,0,1,0,0,0
1716679865_317,1,0,1,0,0,0
1716679865_5,1,0,1,0,0,0
1716679866_033,1,0,0,0,0,0
1716679866_2,1,0,0,1,0,0
1716679866_3,1,0,0,0,0,0
1716679866_41,1,0,0,0,0,0
1716679867_0,1,0,0,0,0,0
1716679867_1,1,0,0,0,0,0
1716679867_2,1,0,1,0,0,0
1716679867_3,1,0,1,0,0,0
1716679867_4,1,0,1,0,0,0
1716679867_5,1,0,1,0,0,0
1716679868_017,1,0,1,0,0,0
1716679868_2,1,0,0,0,0,0
1716679868_3,1,0,1,0,0,0
1716679868_4,1,0,1,0,0,0
1716679868_517,1,0,1,0,0,0
1716679869_1,1,0,1,0,0,0
1716679869_2,1,0,0,0,0,0
1716679869_3,1,0,0,0,0,0
1716679869_41,1,0,0,0,0,0
1716679870_0,1,0,0,0,0,0
1716679870_1,1,0,0,0,0,0
1716679870_2,1,0,0,0,0,0
1716679870_3,1,0,0,0,0,0
1716679870_4,1,0,0,0,0,0
1716679870_5,1,0,0,0,0,0
1716679871_0,1,0,0,0,0,0
1716679871_1,1,0,0,1,0,0
1716679871_2,1,0,0,0,0,0
1716679871_3,1,0,0,0,0,0
1716679871_41,1,0,0,0,0,0
