timestamp,a,b,right,left,down,rb
1716681080_4,0,0,0,0,0,0
1716681146_0,0,0,0,0,0,0
1716681146_10,0,0,0,0,0,0
1716681146_3,0,0,0,0,0,0
1716681146_4,0,0,0,0,0,0
1716681146_5,0,0,0,0,0,0
1716681147_00,0,0,0,0,0,0
1716681147_2,0,0,0,0,0,0
1716681147_30,0,0,0,0,0,0
1716681147_5,0,0,0,0,0,0
1716681148_00,0,0,0,0,0,0
1716681148_2,0,0,0,0,0,0
1716681148_30,0,0,0,0,0,0
1716681148_5,0,0,0,0,0,0
1716681149_00,0,0,0,0,0,0
1716681149_2,0,0,0,0,0,0
1716681149_3,0,0,0,0,0,0
1716681149_50,0,0,0,0,0,0
1716681154_0,0,0,0,0,0,0
1716681154_1,0,0,0,0,0,0
1716681154_2,0,0,0,0,0,0
1716681154_30,0,0,0,0,0,0
1716681154_5,0,0,0,0,0,0
1716681155_0,0,0,0,0,0,0
1716681155_1,0,0,0,0,0,0
1716681155_20,0,0,0,0,0,0
1716681155_4,0,0,0,0,0,0
1716681155_5,0,0,0,0,0,0
1716681156_0,0,0,0,0,0,0
1716681156_1,0,0,0,0,0,0
1716681156_2,1,0,0,0,0,0
1716681156_31,1,0,0,0,0,0
1716681156_5,1,0,0,0,0,0
1716681157_0,1,0,0,0,0,0
1716681157_1,1,0,0,0,0,0
1716681157_2,1,0,0,1,0,0
1716681157_3,1,0,0,0,0,0
1716681157_4,1,0,0,0,0,0
1716681157_5,1,0,0,0,0,0
1716681158_0,1,0,0,0,0,0
1716681158_1,1,0,0,0,0,0
1716681158_2,1,0,0,0,0,0
1716681158_31,1,0,0,0,0,0
1716681158_5,1,0,0,0,0,0
1716681159_0,1,0,0,0,0,0
1716681159_1,1,0,0,0,0,0
1716681159_21,1,0,0,0,0,0
1716681159_4,1,0,0,0,0,0
1716681159_5,1,0,0,0,0,0
1716681160_01,1,0,0,0,0,0
1716681160_2,1,0,0,0,0,0
1716681160_3,1,0,1,0,0,0
1716681160_4,1,0,0,0,0,0
1716681160_5,1,0,0,0,0,0
1716681161_0,1,0,0,0,0,0
1716681161_11,1,0,0,0,0,0
1716681161_3,1,0,1,0,0,0
1716681161_41,1,0,0,0,0,0
1716681162_0,1,0,0,0,0,0
1716681162_1,1,0,0,1,0,0
1716681162_2,1,0,0,1,0,0
1716681162_31,1,0,0,0,0,0
1716681162_5,1,0,0,0,0,0
1716681163_0,1,0,0,0,0,0
1716681163_1,1,0,0,1,0,0
1716681163_2,1,0,0,1,0,0
1716681163_31,1,0,0,1,0,0
1716681163_5,1,0,0,0,0,0
1716681164_0,1,0,1,0,0,0
1716681164_1,1,0,0,0,0,0
1716681164_233,1,0,0,0,0,0
1716681164_4,1,0,0,0,0,0
1716681164_5,1,0,0,0,0,0
1716681165_0,1,0,0,0,0,0
1716681165_1,1,0,0,0,0,0
1716681165_2,1,0,0,0,0,0
1716681165_3,1,0,0,0,0,0
1716681165_4,1,0,0,0,0,0
1716681165_5,1,0,1,0,0,0
1716681166_0,1,0,0,0,0,0
1716681166_11,1,0,0,0,0,0
1716681166_3,1,0,0,0,0,0
1716681166_4,1,0,0,0,0,0
1716681166_51,1,0,0,0,0,0
1716681167_1,1,0,0,1,0,0
1716681167_2,1,0,0,0,0,0
1716681167_3,1,0,0,0,0,0
1716681167_4,1,0,0,0,0,0
1716681167_51,1,0,1,0,0,0
1716681168_1,1,0,0,1,0,0
1716681168_2,1,0,0,0,0,0
1716681168_31,1,0,0,0,0,0
1716681168_5,1,0,0,0,0,0
1716681169_0,1,0,0,0,0,0
1716681169_1,1,0,0,1,0,0
1716681169_2,0,0,0,1,0,0
1716681169_3,0,0,0,0,0,0
1716681169_4,0,0,0,1,0,0
1716681169_533,1,0,0,1,0,0
1716681170_1,1,0,0,1,0,0
1716681170_2,1,0,0,1,0,0
1716681170_3,1,0,0,0,0,0
1716681170_4,1,0,0,0,0,0
1716681170_517,1,0,0,0,0,0
1716681171_1,1,0,0,0,0,0
1716681171_2,1,0,0,0,0,0
1716681171_3,1,0,0,0,0,0
1716681171_41,1,0,0,1,0,0
1716681172_0,1,0,1,0,0,0
1716681172_1,1,0,1,0,0,0
1716681172_21,1,0,0,0,0,0
1716681172_4,1,0,0,0,0,0
1716681172_5,1,0,0,0,0,0
1716681173_0,1,0,0,0,0,0
1716681173_1,1,0,0,0,0,0
1716681173_21,1,0,1,0,0,0
1716681173_4,1,0,0,1,0,0
1716681173_5,1,0,0,0,0,0
1716681174_0,1,0,0,0,0,0
1716681174_1,1,0,0,0,0,0
1716681174_2,1,0,0,0,0,0
1716681174_3,1,0,0,0,0,0
1716681174_433,1,0,0,1,0,0
1716681175_0,1,0,0,1,0,0
1716681175_1,1,0,0,0,0,0
1716681175_2,1,0,1,0,0,0
1716681175_317,1,0,1,0,0,0
1716681175_5,1,0,1,0,0,0
1716681176_0,1,0,0,0,0,0
1716681176_1,1,0,0,0,0,0
1716681176_2,1,0,0,1,0,0
1716681176_333,1,0,0,1,0,0
1716681176_5,1,0,0,1,0,0
1716681177_0,1,0,0,0,0,0
1716681177_1,1,0,0,1,0,0
1716681177_2,1,0,0,0,0,0
1716681177_317,1,0,1,0,0,0
1716681177_5,1,0,1,0,0,0
1716681178_0,1,0,0,0,0,0
1716681178_1,1,0,0,0,0,0
1716681178_2,0,0,0,1,0,0
1716681178_3,0,0,0,1,0,0
1716681178_40,0,0,0,1,0,0
1716681179_0,0,0,0,0,0,0
1716681179_1,1,0,0,0,0,0
1716681179_2,0,0,1,0,0,0
1716681179_3,0,0,0,0,0,0
1716681179_432,1,0,0,0,0,0
1716681180_0,0,0,0,0,0,0
1716681180_1,1,0,0,0,0,0
1716681180_2,1,0,0,1,0,0
1716681180_3,1,0,1,0,0,0
1716681180_4,1,0,0,0,0,0
1716681180_5,1,0,0,0,0,0
1716681181_01,1,0,0,1,0,0
1716681181_2,1,0,0,0,0,0
1716681181_3,1,0,1,0,0,0
1716681181_4,1,0,1,0,0,0
1716681181_5,1,0,0,0,0,0
1716681182_0,1,0,0,1,0,0
1716681182_1,1,0,0,1,0,0
