timestamp,a,b,right,left,down,rb
1716675201_0,0,0,0,0,0,0
1716675201_1,0,0,0,0,0,0
1716675201_2,0,0,0,0,0,0
1716675202_0,0,0,0,0,0,0
1716675202_1,0,0,0,0,0,0
1716675202_2,0,0,0,0,0,0
1716675202_3,0,0,0,0,0,0
1716675202_40,0,0,0,0,0,0
1716675203_1,0,0,0,0,0,0
1716675203_2,0,0,0,0,0,0
1716675203_3,0,0,0,0,0,0
1716675203_4,0,0,0,0,0,0
1716675203_5,0,0,0,0,0,0
1716675204_0,0,0,0,0,0,0
1716675204_1,0,0,0,0,0,0
1716675204_2,0,0,0,0,0,0
1716675204_31,0,0,0,0,0,0
1716675204_5,1,0,0,0,0,0
1716675205_0,1,0,0,0,0,0
1716675205_1,1,0,0,0,0,0
1716675205_2,1,0,0,0,0,0
1716675205_3,1,0,0,1,0,0
1716675205_4,1,0,0,0,0,0
1716675205_5,1,0,0,0,0,0
1716675206_0,1,0,0,1,0,0
1716675206_133,1,0,0,1,0,0
1716675206_3,1,0,0,0,0,0
1716675206_4,1,0,0,0,0,0
1716675206_5,1,0,1,0,0,0
1716675207_0,1,0,0,0,0,0
1716675207_1,1,0,0,0,0,0
1716675207_2,1,0,0,1,0,0
1716675207_3,1,0,0,1,0,0
1716675207_41,1,0,0,0,0,0
1716675208_0,1,0,0,0,0,0
1716675208_1,1,0,1,0,0,0
1716675208_2,1,0,1,0,0,0
1716675208_3,1,0,0,0,0,0
1716675208_41,1,0,0,0,0,0
1716675209_0,1,0,0,0,0,0
1716675209_1,1,0,1,0,0,0
1716675209_2,1,0,1,0,0,0
1716675209_333,1,0,0,0,0,0
1716675209_5,1,0,0,1,0,0
1716675210_0,1,0,0,1,0,0
1716675210_1,1,0,0,1,0,0
1716675210_2,1,0,0,1,0,0
1716675210_3,1,0,0,1,0,0
1716675210_4,1,0,0,0,0,0
1716675210_51,1,0,0,1,0,0
1716675211_1,1,0,0,0,0,0
1716675211_2,1,0,0,1,0,0
1716675211_3,1,0,0,0,0,0
1716675211_4,1,0,0,1,0,0
1716675211_533,1,0,0,1,0,0
1716675212_1,1,0,0,0,0,0
1716675212_2,1,0,0,0,0,0
1716675212_3,1,0,0,0,0,0
1716675212_4,1,0,0,0,0,0
1716675212_5,1,0,1,0,0,0
1716675213_0,1,0,0,1,0,0
1716675213_1,1,0,0,0,0,0
1716675213_2,1,0,0,0,0,0
1716675213_3,1,0,1,0,0,0
1716675213_4,1,0,0,0,0,0
1716675213_51,1,0,0,0,0,0
1716675214_1,1,0,0,0,0,0
1716675214_2,1,0,1,0,0,0
1716675214_31,1,0,1,0,0,0
1716675214_5,1,0,0,0,0,0
1716675215_0,1,0,0,0,0,0
1716675215_117,1,0,0,0,0,0
1716675215_3,1,0,1,0,0,0
1716675215_4,1,0,1,0,0,0
1716675215_5,1,0,1,0,0,0
1716675216_0,1,0,1,0,0,0
1716675216_1,1,0,0,0,0,0
1716675216_2,1,0,0,0,0,0
1716675216_317,1,0,1,0,0,0
1716675216_5,1,0,1,0,0,0
1716675217_0,1,0,1,0,0,0
1716675217_133,1,0,0,0,0,0
1716675217_3,1,0,0,1,0,0
1716675217_4,1,0,0,1,0,0
1716675217_5,1,0,0,0,0,0
1716675218_0,1,0,0,0,0,0
1716675218_1,1,0,0,1,0,0
1716675218_21,1,0,0,0,0,0
1716675218_4,1,0,0,0,0,0
1716675218_5,1,0,0,1,0,0
1716675219_0,1,0,0,0,0,0
1716675219_1,1,0,0,1,0,0
1716675219_2,1,0,0,1,0,0
1716675219_3,1,0,0,1,0,0
1716675219_4,1,0,0,1,0,0
1716675219_5,1,0,0,1,0,0
1716675220_0,1,0,0,0,0,0
1716675220_133,1,0,0,0,0,0
1716675220_3,1,0,0,0,0,0
1716675220_4,1,0,0,1,0,0
1716675220_5,1,0,0,1,0,0
1716675221_0,1,0,0,1,0,0
1716675221_11,1,0,0,0,0,0
1716675221_3,1,0,1,0,0,0
1716675221_4,1,0,0,0,0,0
1716675221_5,1,0,0,0,0,0
1716675222_01,1,0,0,0,0,0
1716675222_2,1,0,1,0,0,0
1716675222_3,1,0,0,0,0,0
1716675222_4,1,0,0,1,0,0
1716675222_5,1,0,0,0,0,0
1716675223_0,1,0,0,0,0,0
1716675223_1,1,0,0,0,0,0
1716675223_2,1,0,0,0,0,0
1716675223_3,1,0,0,0,0,0
1716675223_4,0,0,0,0,0,0
1716675223_5,0,0,0,0,0,0
1716675224_0,0,0,0,0,0,0
1716675224_1,0,0,0,0,0,0
1716675224_2,0,0,0,1,0,0
1716675224_3,0,0,0,1,0,0
1716675224_432,0,0,0,0,0,0
1716675225_0,0,0,0,1,0,0
1716675225_1,0,0,0,0,0,0
1716675225_2,1,0,0,0,0,0
1716675225_3,1,0,1,0,0,0
1716675225_4,1,0,1,0,0,0
1716675225_5,1,0,1,0,0,0
1716675226_0,1,0,0,0,0,0
1716675226_1,1,0,0,0,0,0
1716675226_2,1,0,0,0,0,0
1716675226_3,1,0,0,0,0,0
1716675226_4,0,0,0,1,0,0
1716675226_5,0,0,0,0,0,0
1716675227_00,0,0,0,0,0,0
1716675227_2,0,0,0,0,0,0
1716675227_3,0,0,0,0,0,0
1716675227_4,0,0,0,0,0,0
1716675227_50,0,0,0,0,0,0
1716675228_1,0,0,0,0,0,0
1716675228_2,0,0,0,0,0,0
1716675228_3,0,0,0,0,0,0
1716675228_4,0,0,0,0,0,0
1716675228_5,0,0,0,0,0,0
1716675229_0,0,0,0,0,0,0
1716675229_1,0,0,0,0,0,0
1716675229_2,0,0,0,0,0,0
1716675229_30,0,0,0,0,0,0
1716675229_5,0,0,0,0,0,0
1716675230_0,0,0,0,0,0,0
1716675230_1,0,0,0,0,0,0
1716675230_20,0,0,0,0,0,0
1716675230_4,0,0,0,0,0,0
1716675230_5,0,0,0,0,0,0
1716675231_0,0,0,0,0,0,0
1716675231_1,0,0,0,0,0,0
1716675231_2,0,0,0,0,0,0
1716675231_3,1,0,0,0,0,0
1716675231_41,1,0,0,0,0,0
1716675232_0,1,0,0,0,0,0
1716675232_1,1,0,0,0,0,0
1716675232_20,0,0,0,0,0,0
1716675232_4,1,0,0,0,0,0
1716675232_5,1,0,0,0,0,0
1716675233_0,1,0,0,0,0,0
1716675233_1,1,0,0,0,0,0
1716675233_21,1,0,0,0,0,0
1716675233_4,1,0,0,0,0,0
1716675233_51,1,0,1,0,0,0
1716675234_1,1,0,0,0,0,0
1716675234_2,1,0,0,0,0,0
1716675234_3,1,0,0,0,0,0
1716675234_4,1,0,1,0,0,0
1716675234_5,1,0,1,0,0,0
1716675235_0,1,0,1,0,0,0
1716675235_1,1,0,1,0,0,0
1716675235_2,1,0,1,0,0,0
1716675235_31,1,0,1,0,0,0
1716675235_5,1,0,0,0,0,0
1716675236_0,1,0,0,0,0,0
1716675236_1,1,0,1,0,0,0
1716675236_2,1,0,0,0,0,0
1716675236_3,1,0,0,0,0,0
1716675236_4,1,0,0,0,0,0
1716675236_5,1,0,0,0,0,0
1716675237_0,1,0,0,0,0,0
1716675237_1,1,0,0,0,0,0
1716675237_2,1,0,0,0,0,0
1716675237_3,1,0,0,1,0,0
1716675237_4,1,0,0,1,0,0
1716675237_5,1,0,0,0,0,0
1716675238_01,1,0,0,0,0,0
1716675238_2,0,0,0,1,0,0
1716675238_3,0,0,0,1,0,0
1716675238_4,0,0,0,1,0,0
1716675238_5,0,0,0,1,0,0
1716675239_0,0,0,0,0,0,0
1716675239_1128,0,0,0,0,1,0
